name,description,price,image,stock,category,group_key
ChatGPT Plus Gia hạn chính chủ 1 tháng,AI chatbot mạnh nhất của OpenAI Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,150000,/api/logos/chatgpt.jpg,20,AI,chatgpt
GPT Add Team 1 tháng,AI chatbot mạnh nhất của OpenAI Thêm vào Team/Group workspace của shop không ảnh hưởng dữ liệu cũ. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,50000,/api/logos/chatgpt.jpg,30,AI,chatgpt
GPT Dùng chung 1 tháng,AI chatbot mạnh nhất của OpenAI Tài khoản dùng chung phù hợp nhu cầu cơ bản giá tiết kiệm. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,39000,/api/logos/chatgpt.jpg,50,AI,chatgpt
GPT GO chính chủ 1 năm,AI chatbot mạnh nhất của OpenAI Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,250000,/api/logos/chatgpt.jpg,20,AI,chatgpt
Code GPT Grab Link 1 tháng,AI chatbot mạnh nhất của OpenAI Link nâng cấp trực tiếp — áp dụng cho tài khoản chưa từng nâng gói. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,40000,/api/logos/chatgpt.jpg,15,AI,chatgpt
Claude AI Pro cấp sẵn dùng riêng 1 tháng,AI assistant của Anthropic Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,350000,/api/logos/claude.jpg,10,AI,claude
Cursor AI cấp sẵn 1 tháng,IDE tích hợp AI cho lập trình viên Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,270000,/api/logos/cursor.jpg,15,AI,cursor
Perplexity AI Pro chính chủ 1 năm,Công cụ tìm kiếm thông minh Nâng cấp trực tiếp tài khoản của bạn giữ nguyên dữ liệu và lịch sử. Thời hạn sử dụng 1 năm. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,650000,/api/logos/perplexity.jpg,10,AI,perplexity
Perplexity AI Pro 1 năm không bảo hành,Công cụ tìm kiếm thông minh Thời hạn sử dụng 1 năm. Không kèm bảo hành.,180000,/api/logos/perplexity.jpg,10,AI,perplexity
Leonardo AI Apprentice cấp sẵn 1 tháng,Tạo ảnh AI chuyên nghiệp Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,120000,/api/logos/leonardo.jpg,15,AI,leonardo
ElevenLabs Creator cấp sẵn 1 tháng,Tổng hợp giọng nói AI siêu thực Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,230000,/api/logos/elevenlabs.jpg,10,AI,elevenlabs
ElevenLabs Creator cấp sẵn 3 tháng,Tổng hợp giọng nói AI siêu thực Tài khoản cấp sẵn dùng riêng không chia sẻ với ai. Thời hạn sử dụng 3 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,350000,/api/logos/elevenlabs.jpg,10,AI,elevenlabs
Kling Standard 1156 credit 1 tháng,Tạo video AI theo văn bản Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,160000,/api/logos/kling.jpg,15,AI,kling
Kling Standard 828 credit 1 tháng,Tạo video AI theo văn bản Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,110000,/api/logos/kling.jpg,15,AI,kling
Kling Standard 6100 credit 1 tháng,Tạo video AI theo văn bản Thời hạn sử dụng 1 tháng. Bảo hành đúng thời hạn hỗ trợ 24/7 qua Zalo.,550000,/api/logos/kling.jpg,10,AI,kling
